compiler,nodes,cores,batch_size,runtime,accuracy
C2,1,2,256,238.765714884,0.90189999342
C2,1,2,256,270.220504045,0.902499973774
C2,1,2,256,307.948356867,0.900600016117
C2,1,2,256,253.148323059,0.902000010014
C2,1,2,256,248.747278929,0.9049000144
C2,1,4,256,157.68956995,0.902700006962
C2,1,4,256,170.403933048,0.901700019836
C2,1,4,256,145.18779707,0.900499999523
C2,1,4,256,170.095883846,0.900099992752
C2,1,4,256,161.644597054,0.90499997139
C2,4,2,64,128.601228952,0.903500020504
C2,4,2,64,131.611654043,0.901000022888
C2,4,2,64,151.29361701,0.90030002594
C2,4,2,64,163.048677921,0.90189999342
C2,4,2,64,165.606240988,0.9007999897
C2,4,4,64,124.995503187,0.901700019836
C2,4,4,64,113.03588891,0.902199983597
C2,4,4,64,142.888958216,0.901799976826
C2,4,4,64,128.578588009,0.901400029659
C2,4,4,64,117.161738157,0.9007999897
GraalVM,1,2,64,207.280210972,0.903900027275
GraalVM,1,2,64,261.814852953,0.900099992752
GraalVM,1,2,64,228.685688972,0.906099975109
GraalVM,1,2,64,254.704376936,0.901199996471
GraalVM,1,2,64,227.110594988,0.900200009346
GraalVM,1,4,64,145.838841915,0.901099979877
GraalVM,1,4,64,141.558640957,0.900200009346
GraalVM,1,4,64,137.882081985,0.901199996471
GraalVM,1,4,64,145.396847963,0.903699994087
GraalVM,1,4,64,155.927206039,0.903500020504
GraalVM,4,2,256,175.594653845,0.902300000191
GraalVM,4,2,256,157.204805136,0.901700019836
GraalVM,4,2,256,180.140613079,0.900600016117
GraalVM,4,2,256,166.186041832,0.901700019836
GraalVM,4,2,256,203.899017096,0.901700019836
GraalVM,4,4,256,141.407238007,0.900200009346
GraalVM,4,4,256,172.141592026,0.9007999897
GraalVM,4,4,256,141.449805021,0.902700006962
GraalVM,4,4,256,154.689333916,0.902700006962
GraalVM,4,4,256,139.149628878,0.900399982929
