compiler,nodes,cores,batch_size,runtime,accuracy
C2,1,2,64,205.439786911,0.900399982929
C2,1,2,64,211.566401005,0.901300013065
C2,1,2,64,202.782001019,0.902999997139
C2,1,2,64,195.854480028,0.902700006962
C2,1,2,64,221.864550114,0.901000022888
C2,1,2,64,214.547129869,0.900699973106
C2,1,2,64,205.814924955,0.901700019836
C2,1,4,64,136.033848047,0.901199996471
C2,1,4,64,138.84673214,0.903699994087
C2,1,4,64,123.756519079,0.904699981213
C2,1,4,64,148.085628033,0.90340000391
C2,1,4,64,120.11589694,0.902300000191
C2,1,4,64,143.632399082,0.903100013733
C2,2,2,64,133.936141968,0.901799976826
C2,2,2,64,143.728132963,0.903199970722
C2,2,2,64,131.756160021,0.902700006962
C2,2,2,64,184.115746021,0.901499986649
C2,2,2,64,154.205763102,0.9007999897
C2,2,2,64,151.981149912,0.902599990368
C2,2,2,64,157.718132973,0.901600003242
C2,2,2,64,142.821613073,0.903699994087
C2,2,2,64,119.979721785,0.900499999523
C2,2,2,64,156.030719042,0.903900027275
C2,2,4,64,134.457870007,0.902999997139
C2,2,4,64,119.348367929,0.9007999897
C2,2,4,64,158.862009048,0.902100026608
C2,2,4,64,125.87232995,0.902599990368
C2,2,4,64,106.694899082,0.903299987316
C2,2,4,64,124.989644051,0.901199996471
C2,2,4,64,117.325562,0.901700019836
C2,2,4,64,127.626765013,0.900900006294
C2,3,2,64,171.746500015,0.901199996471
C2,3,2,64,139.943419933,0.901700019836
C2,3,2,64,191.477135897,0.902499973774
C2,3,2,64,197.8729918,0.9007999897
C2,3,2,64,144.534575939,0.902400016785
C2,3,2,64,164.317270994,0.901600003242
C2,3,2,64,168.604882002,0.900900006294
C2,3,2,64,142.233200073,0.901799976826
C2,3,2,64,169.544723034,0.900499999523
C2,3,4,64,111.078953981,0.901199996471
C2,3,4,64,143.275081158,0.9049000144
C2,3,4,64,118.014610052,0.904600024223
C2,3,4,64,127.314527035,0.903699994087
C2,3,4,64,112.417928934,0.90189999342
C2,3,4,64,132.082199097,0.900600016117
C2,3,4,64,145.560683966,0.901700019836
C2,3,4,64,108.529533863,0.902700006962
C2,4,2,64,124.893147945,0.903699994087
C2,4,2,64,177.508508205,0.902700006962
C2,4,2,64,205.019227028,0.902199983597
C2,4,2,64,141.798624992,0.904399991035
C2,4,2,64,128.134390116,0.901300013065
C2,4,2,64,146.38449192,0.901600003242
C2,4,4,64,136.89535284,0.902599990368
C2,4,4,64,149.407782793,0.900600016117
C2,4,4,64,136.873975992,0.90340000391
C2,4,4,64,124.971610069,0.902899980545
C2,4,4,64,106.184482813,0.900499999523
C2,4,4,64,119.716926098,0.901799976826
GraalVM,1,2,64,233.209321976,0.902700006962
GraalVM,1,2,64,205.174511194,0.900499999523
GraalVM,1,2,64,246.126338005,0.90189999342
GraalVM,1,2,64,221.750387907,0.902599990368
GraalVM,1,2,64,235.08851099,0.901600003242
GraalVM,1,2,64,232.361878157,0.90030002594
GraalVM,1,2,64,231.000720024,0.901199996471
GraalVM,1,2,64,247.343081951,0.900600016117
GraalVM,1,2,64,228.946911097,0.901300013065
GraalVM,1,2,64,228.275852919,0.904799997807
GraalVM,1,4,64,156.076689005,0.903500020504
GraalVM,1,4,64,159.949285984,0.90030002594
GraalVM,1,4,64,164.058927059,0.900200009346
GraalVM,1,4,64,151.355629921,0.899900019169
GraalVM,1,4,64,153.220294952,0.901300013065
GraalVM,1,4,64,136.937927961,0.902100026608
GraalVM,1,4,64,154.766496181,0.901600003242
GraalVM,1,4,64,155.104725838,0.900499999523
GraalVM,2,2,64,145.082015038,0.9049000144
GraalVM,2,2,64,168.202902079,0.903299987316
GraalVM,2,2,64,164.181723833,0.901300013065
GraalVM,2,2,64,143.707381964,0.90340000391
GraalVM,2,2,64,162.639668941,0.90189999342
GraalVM,2,2,64,156.230643034,0.903599977493
GraalVM,2,2,64,155.734328985,0.903800010681
GraalVM,2,4,64,133.159341097,0.9007999897
GraalVM,2,4,64,125.184751987,0.900399982929
GraalVM,2,4,64,132.317459822,0.903500020504
GraalVM,2,4,64,134.014662027,0.903699994087
GraalVM,2,4,64,145.000612974,0.902199983597
GraalVM,2,4,64,126.964479923,0.900499999523
GraalVM,3,2,64,167.106408834,0.899999976158
GraalVM,3,2,64,169.363792181,0.901099979877
GraalVM,3,2,64,181.807036161,0.901199996471
GraalVM,3,2,64,177.528486013,0.901400029659
GraalVM,3,2,64,139.281388044,0.899699985981
GraalVM,3,2,64,166.602437973,0.901300013065
GraalVM,3,2,64,134.677320004,0.905200004578
GraalVM,3,4,64,159.697759151,0.900200009346
GraalVM,3,4,64,112.568053961,0.903500020504
GraalVM,3,4,64,129.343817949,0.902899980545
GraalVM,3,4,64,124.367102861,0.900200009346
GraalVM,3,4,64,115.408529043,0.901300013065
GraalVM,3,4,64,115.617547989,0.90340000391
GraalVM,4,2,64,185.779808044,0.901600003242
GraalVM,4,2,64,124.323256969,0.902499973774
GraalVM,4,2,64,163.731627941,0.900099992752
GraalVM,4,2,64,137.057154179,0.901099979877
GraalVM,4,2,64,169.103183985,0.903699994087
GraalVM,4,4,64,108.887766123,0.903299987316
GraalVM,4,4,64,124.636580944,0.9007999897
GraalVM,4,4,64,143.39083004,0.900099992752
GraalVM,4,4,64,140.942886114,0.904399991035
GraalVM,4,4,64,146.886826038,0.900399982929
